Chibi Name,Category,Type,Rarity,GFICommand,Image URL
Chibi Party Rex,License,Chibi-Pets,Legendary,Cheat gfi ChibiDino_Partyrex 1 0 0,https://ark.wiki.gg/wiki/Chibi_Party_Rex#/media/File:Chibi-Rex.png
Chibi-Achatina,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Achatina 1 0 0,https://ark.wiki.gg/images/b/bc/Chibi-Achatina.png
Chibi-Allosaurus,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Allosaurus 1 0 0,https://ark.wiki.gg/images/1/12/Chibi-Allosaurus.png
Chibi-Ammonite,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Ammonite 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Ammonite.png
Chibi-Anglerfish,License,Chibi-Pets,Common,cheat gfi AnglerFish 1 0 0,https://ark.wiki.gg/images/b/ba/Chibi-Anglerfish.png
Chibi-Animated Series Raptor,License,Chibi-Pets,Common,Cheat gfi ChibiDino_RaptorAnimatedSeries 1 0 0,https://ark.wiki.gg/images/b/b3/Chibi-Raptor.png
Chibi-Ankylosaurus,License,Chibi-Pets,Common,Cheat gfi ChibiDino_Ankylosaurus 1 0 0,https://ark.wiki.gg/images/c/c2/Chibi-Ankylosaurus.png
Chibi-Araneo,License,Chibi-Pets,Common,cheat gfi Araneo 1 0 0,https://ark.wiki.gg/images/5/52/Chibi-Araneo.png
Chibi-Archaeopteryx,License,Chibi-Pets,Common,cheat gfi ChibiDino_Archaeopteryx 1 0 0,https://ark.wiki.gg/images/e/e6/Chibi-Archaeopteryx.png
Chibi-Argentavis,License,Chibi-Pets,Uncommon,Cheat gfi ChibiDino_Argent 1 0 0,https://ark.wiki.gg/images/0/03/Chibi-Argentavis.png
Chibi-Astrocetus,License,Chibi-Pets,Very Rare,Cheat gfi ChibiDino_Astrocetus 1 0 0,https://ark.wiki.gg/images/c/c1/Chibi-Astrocetus.png
